State Name,Univesity Name ,College/Stand Alone Institution
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",M.V.R.S. Viveka Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Sri Potti Sriramulu Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Hazarath Ameeruddin College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Sweekaar Degree College, Guntur"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Nagarjuna College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Vinukonda B.Ed. College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Sri Jeevana Jyothi Degree College, Giddalur"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Priyanka College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Goutham College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",B.V.S.P.M Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","M.M.R Degree College, Macherla"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Sarada Degree College, Medarametla"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Prathiba Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",S.N.B.T. Degree College for Women
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",V.R.S. and Y.R.N. College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Vignan Degree College, Chemakurthi"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",St. John College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Vagdevi Degree College, Rentachintala"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",S.G.T. and J.V.B.College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Shams-Ul_Uloom College of Education, Markapur"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Sweekaar College of Special Education (M.R), Guntur"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Seven Hills College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Balaji Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",N.R.K. and K.S.R. Gupta Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",S.G.K. Oriental College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",R.V.R.R. College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","VJandBL Degree College, Mangalagiri"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Navya Chaitanya College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Amrutha Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","D.C.R.M P.G College, MBA"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",K.L.N. Sanskrit College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",G.R.R. and T.P.R. Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Konijeti Rosaiah Siva Lakshmi College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",A.C.College (Day)
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Prabhala PG College for Women, Nagarjuna Nagar"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",R.V.V.N. College
