Institute Name,Course Name
,- Bachelor of Mass Media
,- Master of Science(Information Technology)
,- Master of Commerce
,- Bachelor of Management Studies
,
Moolji Jaitha College,- Bachelor Of Commerce
,- Master Of Art(Political Science)
,- Master Of Art(History)
,- Master Of Science(Chemistry)
,- Master Of Science(Computer Science)
,- Master Of Science(Zoology)
,- Master Of Commerce
,- Bachelor Of Art(English)
,- Bachelor Of Art(History)
,- Bachelor Of Science(Mathematics)
,- Bachelor Of Science(Zoology)
,- Bachelor Of Science(Information Technology)
,- Bachelor Of Science(Electronics)
,- Master Of Art(English)
,- Bachelor of Art(Economics)
,- Bachelor Of Science(Biochemistry)
,- Bachelor Of Business Administration
,- Master Of Art(Economics)
,- Master Of Science(Botany)
,- Master Of Science(Mathematics)
,- Bachelor Of Art (Sociology)
,- Bachelor Of Science(Computer Science)
,- Master Of Science(Bio-Chemistry)
,- Master Of Science(Information Technology)
,- Master Of Science(Microbiology)
,- Master Of Science(Physics)
,- Bachelor Of Science(Botany)
,- Bachelor Of Science(Microbiology)
,- Bachelor Of Art (Political Science)
,- Master Of Art (Sociology)
,- Bachelor Of Science(Physics)
,- Bachelor Of Science(Chemistry)
,- Master Of Art(Mass Communication & Journalism)
,
V. G. Vaze College,- Bachelor Of Art (Political Science)
,- Bachelor Of Science(Physics)
,- Master Of Science(Biotechnology)
,- Bachelor Of Art(English)
,- Bachelor Of Science(Botany)
,- Bachelor Of Science(Biotechnology)
,- Bachelor of Art (Economics)
,- Bachelor Of Art (Sociology)
,- Bachelor Of Science(Mathematics)
,- Bachelor Of Commerce
,- Bachelor Of Mass Media
,- Master Of Science(Information Technology
,- Bachelor Of Art(History)
,- Bachelor Of Science(Zoology)
,- Master Of Science(Zoology)
,- Bachelor Of Science(Chemistry)
,- Master Of Science(Chemistry)
,
"St. Andrewâ€™s College of Arts, Science and Commerce",- Bachelor Of Art (Psychology)
,- Bachelor Of Commerce
,- Bachelor Of Art(English)
,- Bachelor of Management Studies
,- Bachelor of Art (Economics)
,- Bachelor of Mass Media
,- Bachelor of Commerce (Accounting and Finance)
,- Bachelor Of Art (Sociology)
,- Bachelor of Science(Information Technology)
,- Bachelor Of Science(Hospitality Studies)
,
Wilson College,- Bachelor Of Science(Microbiology)
,- Bachelor Of Science(Chemistry)
,- Bachelor Of Science(Zoology)
,- Bachelor Of Science(Botany)
,- Bachelor in Management Studies
,- Master Of Science(Microbiology)
,- Bachelor Of Science(Physics)
,- Bachelor Of Science(Biotechnology)
,- Bachelor Of Science(Mathematics)
,- Bachelor in Mass Media
,- Bachelor Of Science(Computer Science)
,- Master Of Science(Zoology)
,- Bachelor Of Art
,- Master Of Science(Chemistry)
,
"S.I.E.S. College of Arts, Science & Commerce",- Bachelor of Art (Economics)
,- Bachelor Of Science(Chemistry)
,- Bachelor Of Science(Mathematics)
,- Bachelor Of Science(Botany)
,- Bachelor Of Science(Biochemistry)
,- Bachelor Of Art (Political Science)
,- Bachelor Of Art(English)
,- Bachelor Of Art(History)
,- Bachelor Of Commerce
,- Bachelor Of Science(Physics)
,- Bachelor Of Science(Zoology)
,- Bachelor Of Mass Media
,- Bachelor of Science(Information Technology)
,- Bachelor Of Science(Biotechnology)
,- Bachelor Of Science(Computer Science)
,- Bachelor Of Management Studies
,- Bachelor Of Science(Microbiology)
,
Pt. L. M. S. Govt. P. G. College,- Bachelor Of Education
,- Bachelor Of Art
,- Master Of Commerce
,- Bachelor Of Science(Biology)
,- Bachelor Of Science(Mathematics)
,- Master Of Art
,- Bachelor Of Commerce
,- Post Graduate Diploma in Public relations & Eco Tourism
,
Mahila College,- Bachelor Of Art
,- Bachelor of Science (Maths)
,- Bachelor Of Science (Biology)
,- Bachelor of Computer Application
,- Bachelor Of Journalism & Mass Communication
,- Diploma In Computer Application.
,- Bachelor Of Commerce
,
Doon Business School(old),- Bachelor of Computer Application
,- Master Of Business Administration
,- Master Of Computer Application
,- Master in International Business
,- BBA
,- B Com
,- MIB
,- MA (Mass Communication)
,- Bachelor of Business Administration
,- BA (Media and Mass Communication)
,- PGDM + SAP
,- Bachelor Of Art(Media & Mass Communication)
,- BCA
,- MBA
,
Govt. Degree College,- Bachelor Of Art
,- Post Graduate Diploma in Public Relation & Advertising
,- Bachelor Of Science(Mathematics)
,- Bachelor Of Education
,- Bachelor Of Commerce
,- Master Of Commerce
,- Bachelor Of Science(Biology)
,
Shri Guru Ram Rai P.G. College,- Bachelor Of Science(Mathematics)
,- Bachelor Of Education
,- Bachelor Of Science(Biotechnology)
,- Master Of Science(Mathematics)
,- Post Graduate Diploma In Mass Communication
,- Bachelor Of Art(Economics)
,- Bachelor Of Science(Agriculture)
,- Master Of Science(Chemistry)
,- Bachelor Of Science(Botany)
,- Bachelor Of Art(History)
,- Bachelor Of Science(Microbiology)
,- Master Of Art (English)
,- Master Of Art (History)
,- Master Of Science(Microbiology)
,- Bachelor Of Art(English Literature)
,- Master Of Science(Physics)
,- Master Of Art(Economics)
,- Master Of Science(Biotechnology)
,- Bachelor Of Science(Physics)
,- Bachelor Of Art(Political Science)
,- Bachelor Of Science(Chemistry)
,
M.V.College,- Bachelor Of Art(History) Honours
,- Bachelor Of Science (Mathematics) Honours
,- Bachelor Of Science(Zoology)Honours
,- Bachelor Of Art(Tourism) Honours
,- Bachelor Of Science (Botany)Honours
,- Master Of Art(Economics)
,- Bachelor Of Art(Home Science)Honours
,- Bachelor Of Science (Chemistry)Honours
,- Master Of Art(History)
,- Bachelor Of Science(Home Science)Honours
,- Bachelor Of Science(Physics)Honours
,- Bachelor Of Art(Economics) Honours
,- Master Of Art(Sociology)
,- Master Of Art(Journalism & Mass Communication)
,- Bachelor Of Art(Sociology) Honours
,- Master Of Art(Political Science)
,
NALANDA OPEN UNIVERSITY,- B.A.(Political Science) Honours
,- B.A.(Sociology)Honours
,- Bachelor of Education
,- M.A.(History)
,- M.Sc. (Botany)
,- M.Sc.(Mathematics)
,- M.Sc.(Zoology)
,- B.A.(Home Science)Honours
,- B.Sc. (Botany) Honours
,- B.Sc.(Mathematics)Honours
,- B.Sc. (Physics)Honours
,- M.Sc.(Physics)
,- Master of Computer Application
,- B.A.(History)Honours
,- B.Sc.(Chemistry) Honours
,- B.Sc.(Home Science)Honours
,- Bachelor of Commerce
,- Bachelor of Apllication
,- B.A.(Economics)Honours
,- B.Sc. (Zoology)Honours
,- M.Sc.(Chemistry)
,- Master Of Commerce
,- M.A.(Sociology)
,- M.A.(Economics)
,- Bachelor Of Computer Application
,- M.A.(Political Science)
,- Post Graduate Diploma in Marketing Management
,- Post Graduate Diploma in Journalism and Mass Communication
,
Dr. Hari Singh Gour University,- Bachelor Of Art(Sociology)
,- Bachelor Of Science(Chemistry)
,- Bachelor Of Science(Mathematics)
,- Bachelor Of Science(Botany)
,- Bachelor Of Science(Zoology)
,- Bachelor Of Science(Industrial Microbiology)
,- Bachelor of Commerce
,- Bachelor Of Business Administration
,- Master Of Art(English)
,- Master Of Journalism & Communication
,- Master Of Art(Economics)
,- Master Of Art(Political Science)
,- Master Of Law
,- Master of Business Administration
,- Master Of Pharmacy
,- Master Of Science(Botany)
,- Master Of Science(Zoology)
,- Master Of Science(Applied Microbiology)
,- Master Of Science(Physics)
,- Master Of Science(Mathematics)
,- Master Of Computer Application
,- Bachelor Of Art(Political Science)
,- Bachelor of Computer Application
,- Bachelor Of Science(Statistics)
,- Master Of Commerce
,- Master Of Art(Sociology)
,- Master Of Science(Biotechnology)
,- Bachelor Of Art(History)
,- Bachelor Of Science(Physics)
,- Bachelor Of Art(English literature)
,- Master Of Art(History)
,- Master Of Science(Chemistry)
,- Master Of Education
,- Bachelor Of Art(Economics)
,
Makhanlal Chaturvedi Rashtriya Patrakarita Vishwavidyalaya,- Bachelor of Computer Application
,- Master Of Science (Electronic Media)
,- Master Of Art (Advertising & Public Relations)
,- Master Of Journalism
,- Master Of Art (Broadcast Journalism)
,- Master Of Computer Application
,- PG Diploma in Computer Applications
,- Bachelor of Journalism
,- Master Of Art (Mass Communication)
,
Hemwati Nandan Bahuguna Garhwal University,- Bachelor Of Science
,- Master Of Science(Botany)
,- Master Of Science(Chemistry)
,- Bachelor Of Art
,- Bachelor Of Commerce
,- Master Of Science(Mathematics)
,- Master Of Art(Sociology)
,- Master Of Art(Political Science)
,- Master Of Art(Home Science)
,- Master Of Art(History)
,- Bachelor Of Art (Hons.) Mass Communication
,- Bachelor Of Business Administration
,- Master Of Science(Zoology)
,- Master Of Art(English)
,- Master Of Art(Economics)
,- Post Graduate Diploma in Business Administration
,- Master Of Science(Physics)
,- Master Of Commerce
,
Jayoti Vidyapeeth Womens University,- B.Tech.(Computer Science Engineering)
,- B.Tech.(Information & Communication Technology)
,- B.B.A. + M.B.A.(Integrated Course)
,- Bachelor Of Science(Home Science)
,- Bachelor Of Computer Application
,- M.Tech.(Computer Science Engineering)
,- M.Tech.(Bio-Technology)
,- Master Of Business Administration
,- M.Sc.(Microbiology)
,- M.Sc.(Chemistry)
,- Master Of Art(History)
,- Master Of Art (Political Science)
,- Master Of Art(English)
,- Master Of Commerce
,- B.Tech.(Biotechnology)
,- Bachelor Of Science(Biotechnology)
,- Bachelor Of Science(Biology)
,- Bachelor Of Science(Mathematics)
,- Bachelor Of Art
,- Bachelor Of Commerce
,- Bachelor of Journalism & Mass Communication
,- Master Of Computer Application
,- M.Tech.(Electronics & Communication Engineering)
,- Master Of Pharmacy
,- M.Sc.(Biotechnology)
,- B.Tech.(Bioinformatics)
,- B.Tech.(Electronics & Communication Engineering)
,- Bachelor Of Business Management
,
University of Kerala,- Bachelor of Science (Botany)
,- Bachelor of Science (Mathematics)
,- Bachelor of Science (Physics)
,- Bachelor of Arts (Economics)
,- Bachelor of Arts (Philosophy)
,- Bachelor of Arts (Psychology)
,- Bachelor of Arts (Music)
,- Bachelor of Fine Arts (Applied Arts)
,- Bachelor of Fine Arts (Painting)
,- Bachelor of Science (Statistics)
,- Bachelor of Science (Geology)
,- Bachelor of Science (Biotechnology)
,- Bachelor of Science (Bio Chemistry & Industrial Microbiology)
,- Bachelor of Science (Physics and Computer Applications)
,- Bachelor of Science (Botany and Biotechnology)
,- Bachelor of Science (Industrial Microbiology)
,- Bachelor of Science (Home Science)
,- Bachelor of Science (Hotel Management & Catering Science)
,- Bachelor of Arts (Arabic)
,- Bachelor of Arts (Communicative English)
,- Bachelor of Arts (Malayalam)
,- Bachelor of Arts (Hindi)
,- Bachelor of Arts (Sanskrit)
,- Bachelor of Arts (Sociology)
,- Masters in Communication & Journalism
,- Master of Arts (Malayalam)
,- Master of Arts (Arabic)
,- Master of Arts (Islamic History)
,- Master of Arts (Psychology)
,- Master of Arts (Music)
,- Master of Science (Geography)
,- Master of Science (Geology)
,- Master of Science (Analytical Chemistry)
,- Master of Science (Biochemistry)
,- Master of Social works
,- Bachelor of Science (Geography)
,- Bachelor of Science (Computer Science)
,- Bachelor of Science (Electronics)
,- Bachelor of Computer Applications
,- Bachelor of Commerce (Computer Application)
,- Bachelor of Commerce (Tax Procedure & Practices)
,- Bachelor of Arts (English)
,- Bachelor of Arts (Mass Communication & Video Production)
,- Masters in Tourism Administration
,- Master of Arts (Philosophy)
,- Master of Arts (Sanskrit)
,- Master of Arts (Tamil)
,- Master of Arts (English)
,- Master of Arts (Political Science)
,- Master of Arts (Economics)
,- Master of Arts (Sociology)
,- Master of Science (Physics)
,- Master of Science (Botany)
,- Master of Science (Zoology)
,- Master of Science (Home Science)
,- Master of Science (Home Science (Food & Nutrition)
,- Bachelor of Arts (History)
,- Bachelor of Science (Zoology)
,- Bachelor of Science (Polymer Chemistry)
,- Bachelor of Science (Optical Instrumentation)
,- Bachelor of Commerce
,- Bachelor of Commerce (Hotel Management & Catering)
,- Bachelor of Arts (Tamil)
,- Master of Science (Chemistry)
,- Bachelor of Arts (Islamic History)
,- Bachelor of Science (Chemistry)
,- Bachelor of Science (Chemistry and Industrial Chemistry)
,- Bachelor of Business Administration
,- Master of Arts (History)
,- Master of Arts (Business Economics)
,- Master of Commerce
,- Master of Science (Environmental Science)
,- Master of Science (Statistics)
,- Master of Science (Applied Chemistry)
,- Bachelor of Science (Environment & Water Management)
,- Bachelor of Arts (Political Science)
,- Bachelor of Science (Biochemistry)
,- Master of Science (Mathematics)
,
Flame School of Communication,- Post Graduate Diploma in Management (Marketing & Advertising)
,- Post Graduate Diploma in Management (Film & Television)
,- Post Graduate Diploma in Management (Broadcast Journalism & New Media)
,
Arcade Business College,- Bachelor of Mass Communication & Journalism
,- Bachelor of Business Administration (Retail Management)
,- Bachelor of Business Management
,- Bachelor of Computer Applications
,
Delhi Institute of Management & Services,- Bachelor of Arts
,- Bachelor of Business Administration (Tourism Management)
,- Master of Computer Applications
,- Master of Business Administration
,- Master in Insurance Business
,- Post Graduate Diploma in Business Administration (Human Resource Management)
,- Post Graduate Diploma in Business Management (Marketing)
,- Post Graduate Diploma in Human Resource Management
,- Post Graduate Diploma in in Bio Informatics
,- Diploma in Financial Management & Accounting
,- Diploma in Bakning & Financial Management
,- Master of Social Work
,- Post Graduate Diploma in Journalism & Mass Communications
,- Post Graduate Diploma in Business Management
,- Post Graduate Diploma in Financial Management
,- Diploma in Sales & Marketing
,- Diploma in Human Resources Management
,- Bachelor of Science (Computer Science)
,- Master of Science (Computer Science)
,- Master of Science (Information Technology)
,- Diploma in Export & International Marketing
,- Bachelor of Computer Applications
,- Bachelor of Business Administration
,- Bachelor of Business Administration (Hotel Management)
,- Bachelor of Mass Communications
,- Master of Commerce
,- Post Graduate Diploma in Management (Information Technology)
,- Post Graduate Diploma in Computer Applications
,- Post Graduate Diploma in Marketing Management
,- Diploma in Hotel Management
,- Diploma in Tourism Management
,- Diploma in Business Management
,- Diploma in Supply Chain Management
,- Bachelor of Library & Information Science
,- Post Graduate Diploma in Management
,- Post Graduate Diploma in International Trade Management
,- Post Graduate Diploma in Banking & Financial Management
,- Bachelor of Science (Information Technology)
,- Master of Arts
,- Master of Library & Information Science
,- Post Graduate Diploma in Business Management (Retail)
,- Diploma in Information Technology
,- Diploma in Financial Management
,- Diploma in International Trade Management
,- Post Graduate Diploma in Supply Chain Management
,- Diploma in Marketing Management
,- Bachelor of Commerce
,
Flame School of Performing Arts,- Bachelor of Arts (Performance/ Musicology)
,- Master of Arts (Musicology)
,- Diploma Course in Design
,- Certificate Course in Design
,- Diploma Course in Acting
,- Certificate Course in Acting
,
Abhinav Institute of Technology & Management,- Bachelor of Technology (Electrical Engineering)
,- Bachelor of Technology (Electronics & Communication Engineering)
,- Bachelor of Computer Applications
,- Bachelor of Social Works
,- Master of Arts (Education)
,- Master of Commerce (Finance & Taxation)
,- Post Graduate Diploma in Journalism and Mass Communication
,- Bachelor of Arts
,- Master of Social Works
,- Bachelor of Technology (Computer Science & Engineering)
,- Post Graduate Diploma in International Business Operation
,- Post Graduate Certificate in Cyber Law
,- Master of Arts (History)
,- Master of Arts (Social Work)
,- Master of Commerce
,- Bachelor of Technology (Civil Engineering)
,- Bachelor of Science (Business Information Systems)
,- Bachelor of Social Works
,- Master of Arts (Hindi)
,- Master of Arts (Political Science)
,- Master of Arts (Public Admnistration)
,- Certificate in Community Radio
,- Advanced Diploma in Medical Laboratory Technology
,- Bachelor of Commerce
,- Bachelor of Library & Information Science
,- Master of Arts (English)
,- Master of Arts (Sociology)
,- Diploma in Retailing
,- Bachelor of Technology (Mechanical Engineering)
,- Bachelor of Business Administration
,- Post Graduate Diploma in Audio Programme Production
,- Master of Arts (Economics)
,- Master of Library & Information Science
,
Apeejay Institute of Mass Communication,- Post Graduate Diploma in Digital Media & Online Journalism
,- Post Graduate Diploma in Corporate Communication & Event Management
,- Post Graduate Diploma in Television & Radio Journalism / Production
,- Post Graduate Diploma in Advertising & Marketing Communication
,
Deen Dayal Upadhyay Gorakhpur University,- B.A.(Visual Art)
,- Bachelor Of Art(Political Science)
,- Bachelor Of Business Administration
,- B.Sc.(Physics)
,- Bachelor Of Journalism & Mass Communication
,- Master Of Art (English)
,- Master Of Art(Philosophy)
,- Master Of Art(Political Science)
,- Master Of Art(Sociology)
,- Master Of Business Administration
,- Master Of Education
,- Master Of Law
,- M.Sc.(Home Science)
,- M.Sc.(Physics)
,- Bachelor of Law
,- B.Sc.(BioTechnology)
,- B.Sc.(Computer Science)
,- B.Sc.(Home Science)
,- B.Sc. (Zoology)
,- Master Of Art(Economics)
,- M.Sc.(Chemistry)
,- M.Sc.(Zoology)
,- Master Of Journalism & Mass Communication
,- Post Graduate Diploma in Computer Application
,- Bachelor Of Art(Sociology)
,- Bachelor Of Education
,- M.A.(Visual Art)
,- M.Sc.(Biotechnology)
,- Bachelor Of Art(Philosophy)
,- Bachelor Of Science(Chemistry)
,- Bachelor Of Art(English)
,
Kurukshetra University,- B.A.(Mass Communication)
,- B.Ed. (Special Education)
,- Bachelor Of Physical Education
,- B.Tech.(Electronics & Communication)
,- B.Tech.(Biotechnology)
,- B.Tech.(Electrical Engineering)
,- B.Tech.(Mechanical Engineering)
,- Bachelor Of Law
,- Master Of Art (English)
,- Master of International Business
,- Master Of Business Administration
,- M.Sc.(Mass Communication)
,- M.Tech.(Software Engineering)
,- M.Tech.(Micro Electronics & VLSI Design)
,- Master Of Art (Philosophy)
,- Master Of Law
,- M.Sc.(Biochemistry)
,- M.Sc. (Biotechnology)
,- M.Tech.(Computer Science & Engineering)
,- M.Sc.(Mathematics)
,- M.Sc (Physics)
,- M.A.(Political Science)
,- M.A.(Economics)
,- M.A.(Psychology)
,- Post Graduate Diploma in Graphics & Animation
,- B.Tech.(Printing Graphics and Packaging)
,- B.Tech.(Computer Engineering)
,- Master Of Commerce
,- M.Ed. (Special Education)
,- M.Sc.(Chemistry)
,- Master Of Computer Application
,- M.A.(Mass Communication)
,
Mahatma Jyotiba Phula Rohilkhand University,- B.Tech.(Computer Science)
,- B.Tech.(Electrical Engineering)
,- B.Tech.(Electronics & communication Engineering)
,- B.Tech.(Mechanical Engineering)
,- Bachelor Of Pharmacy
,- Bachelor Of Hotel Management
,- Bachelor Of Education
,- Bachelor Of Law
,- Master Of Computer Application
,- M.Sc.(Chemistry)
,- M.Sc.(Applied Physics)
,- M.Sc.(Applied Mathematics)
,- Master Of Art(Applied & Regional Economics)
,- M.Sc.(Animal Science)
,- M.Sc.(Plant Science)
,- Master Of Business Administration
,- Master Of Education
,- Master Of Law
,- Post Graduate Diploma in Mass Communication & Electronic Journalism
,- B.Tech.(Chemical Engineering)
,- Master Of Art(Applied English)
,- Post Graduate Diploma in Computer Application
,
Intech Institute of Business Management,- Bachelor in Business Management
,- B.A. (Art & Journlism)
,- Master Of Business Administration
,- B.Sc.(Computer Science)
,- Master Of Computer Application
,- Post Graduate Diploma In Business Management
,
Radiance College,- Bachelor Of Business Management
,- Bachelor Of Commerce
,- B.Sc.(Bio-Technology)
,- Bachelor Of Art (Journalism)
,- B.A.(Tourism)
,- Bachelor Of Computer Application
,- Bachelor Of Commerce (Evening)
,
Mahatma Gandhi Kashi Vidyapith,- Bachelor Of Law
,- B.Sc.(Mathematics)
,- Bachelor Of Fine Art
,- B.A.(Journalism & Mass Communication)
,- Bachelor Of Art(Economics)
,- Master Of Commerce
,- Master Of Business Administration
,- Master Of Art(English Literature)
,- Master Of Fine Art
,- Master Of Art(Economics)
,- Master Of Art(Psychology)
,- Master Of Art(Political Science)
,- Bachelor Of Education
,- B.Sc.(Computer Science)
,- Bachelor Of Art(English Literature)
,- Bachelor Of Art(Philosophy)
,- Master Of Art(Social Work)
,- Master Of Education
,- Master Of Law
,- Master Of Computer Application
,- Master Of Journalism & Mass Communication
,- Bachelor Of Physical Education
,- Bachelor Of Art(Political Science)
,- Master Of Art(Philosophy)
,- Post Graduate Diploma in Computer Application
,- Bachelor Of Commerce
,- Bachelor Of Art(Mathematics)
,
Indo Asian Academy Degree College,- Master Of Business Administration
,- Post Graduate Diploma in Human Resource Management
,- Post Graduate Diploma in Marketing Management
,- Post Graduate Diploma in International Business
,- B.Sc.(Electronics & Mathematics)
,- Bachelor Of Business Management
,- Bachelor Of Computer Applications
,- B.Sc. (Computer Science)
,- Bachelor Of Commerce
,- Bachelor Of Arts (Journalism)
,- Post Graduate Diploma in Business Administration
,
Allahabad University,- Bachelor Of Education
,- B.Sc. (Home Science)
,- B.Sc. (Mathematics)
,- Bachelor Of Physical Education
,- Bachelor Of Journalism & Mass Communication
,- Bachelor Of Law
,- Post Graduate Diploma In Computer Application
,- B. A. (Ancient History)
,- B.A.(English)
,- B.Sc.(Bio-Chemistry)
,- B.Sc.(Physics)
,- Bachelor Of Computer Application
,- Master Of Business Administration
,- B.Tech.(Electronics & Communication)
,- Bachelor Of Commerce
,- B.A.(Economics)
,- B.A.(Political Science)
,- B.Sc. (Botany)
,- Master Of Computer Application
,- B.Sc.(Chemistry)
,
Indian Academy Degree College,- B.Sc. (Microbiology)
,- Master Of Business Administration
,- Bachelor Of Commerce
,- Bachelor Of Computer Application
,- Bachelor Of Business Management
,- Master Of Commerce
,- B.Sc.(Biotechnology)
,- B.Sc.(Chemistry)
,- B. A.(Journalism)
,- M.Sc.(Bio-Technology)
,- B.Sc. (Mathematics)
,
Dr. Ram Manohar Lohia Avadh University,- B.Tech.(Electronics & Communication Engineering)
,- B.Tech.(Information Technology)
,- M.Sc.(Physics)
,- M.A.(Economics & Rural Development)
,- M.A.(Mass Communication & Journalism)
,- Master Of Social Work
,- M.Sc.(Computer Science)
,- Master Of Education
,- B.Tech.(Mechanical Engineering)
,- B.Tech.(Computer Science Engineering)
,- Bachelor Of Physical Education
,- M.Sc.(Electronics)
,- M.Sc.(Biochemistry)
,- M.Sc.(Microbiology)
,- Master Of Art (History)
,- Master Of Business Administration
,- M.Sc.(Mathematics & Statistics)
,- Master Of Tourism Administration
,- M.Sc.(Biotechnology)
,- Bachelor Of Computer Application
,- Master Of Computer Application
,- Post Graduate Diploma in Fashion Designing
,- Bachelor Of Business Administration
,
CMR Institute Of Management Studies,- B.Sc.(Bio-Technology)
,- B.Sc.(Chemistry)
,- Post Graduate Diploma in Business Management
,- Bachelor Of Business Management
,- Master Of Computer Application
,- Post Graduate Diploma in Marketing Management
,- Bachelor Of Art (Journalism)
,- Bachelor Of Computer Application
,- Bachelor Of Commerce
,- Bachelor Of Art (Communicative English)
,- Master Of Business Administration
,- Post Graduate Diploma in Human Resources Management
,- Master Of Commerce
,- M.Sc. (Bio-Technology)
,
Maharishi Dayanand University,- Bachelor Of Pharmacy
,- B.Tech.(Bio-Technology)
,- Master Of Art (Economics)
,- M.Sc. (Mathematics)
,- Bachelor Of Law
,- B.Tech. (Electronics & Communication Engineering)
,- M.Sc.(Bio-Technology)
,- Master Of Art (English)
,- M. A. (Mass Communication)
,- M.Sc.(Chemistry)
,- M.Tech.(Computer Science & Engineering)
,- Master Of Computer Application
,- Bachelor Of Physical Education
,- Master Of Art (Political Science)
,- M.Tech (Biotechnology)
,- B.Tech.(Computer Science)
,- B.Tech. (Mechanical Engineering)
,- Master Of Art (Education)
,- M.B.A.(International Business)
,- M.Tech.(Electronics & Communication Engineering)
,- Master Of Commerce
,- Master Of Business Administration
,
Veer Bahadur Singh Purvanchal University,- B.Tech.(Electrical Engineering)
,- B.Tech.(Electronics Engineering)
,- B.Tech. (Computer Sciences & Engineering)
,- B.Tech.(Information Technology)
,- Master Of Mass communication
,- Master Of Applied Psychology
,- Master of Business Economics
,- Master Of Business Administration
,- Master Of Computer Application
,- Master Of Science (Biotechnology)
,
Stani Memorial P. G. College,- Bachelor Of Commerce
,- M.Sc. (Biotechnology)
,- Bachelor Of Art (Political Science)
,- Bachelor Of Science (Mathematics)
,- B.Sc. (Information Technology
,- Master Of Journalism & Mass Communication
,- Master Of Art (English)
,- M.Sc. (Chemistry)
,- Bachelor of Business Administration
,- Bachelor Of Computer Application
,- Bachelor Of Art (English Literature )
,- Bachelor Of Science (Chemistry)
,- Bachelor Of Science (Physics)
,- B. Sc. Biotechnology (Integrated)
,- M.Sc. (Information Technology)
,- Bachelor Of Art (Economics)
,
Baldwin Methodist Women College,- B.Sc. (Fashion Technology & Apparel design)
,- Bachelor Of Commerce
,- Bachelor Of Art (Political Science)
,- Bachelor Of Art (Journalism)
,- Bachelor Of Business Management
,
Chaudhary Devi Lal University,- M.Sc. (Bio-Technology)
,- M.Sc.(Chemistry)
,- Master Of Art (Economics)
,- Bachelor Of Law
,- M.A.(Education)
,- M.Sc.(Physics)
,- Bachelor Of Physical Education
,- M.Sc.(Mathematics)
,- Master Of Commerce
,- Master Of Art (Mass Communication)
,- Master Of Business Administration (Integrated)
,- M.Tech.(Computer Science Engineering)
,- M.A.(English)
,- Master Of Physical Education
,
St. Wilfred's P.G. College,- Bachelor Of Art (Mathematics)
,- B.Sc. (Bio-Technology -Integrated)
,- Master Of Tourism Management
,- Bachelor Of Art (English)
,- Bachelor Of Business Administration
,- M. A. (Psychology)
,- Masters Of Journalism and Mass Communication
,- Bachelor Of Art (Economics)
,- M.Sc.(Biotechnology)
,- Bachelor Of Art (Political Science)
,- Bachelor in Computer Application
,- Master Of Art (Economics)
,- Post Graduate Diploma in Computer Application
,- M.Sc.(Information Technology)
,- M. A. (English Literature)
,
Aligarh Muslim University,- Bachelor Of Art(English)
,- Bachelor Of Fine Arts
,- Bachelor Of Art(Philosophy)
,- B.Tech.(Civil Engineering)
,- B.Tech.(Chemical Engineering)
,- B.Tech.(Computer Engineering)
,- B.Tech.(Electrical Engineering)
,- B.Tech.(Electronics Engineering)
,- B.Tech.(Mechanical Engineering)
,- Bachelor Of Law
,- B.Sc.(Hons.)Biochemistry
,- B.Sc.(Zoology)
,- Bachelor Of Computer Application
,- B.Sc.(Mathematics)
,- B.A. Economics(Hons.)
,- Bachelor Of Art(Sociology and Social Work)
,- Master Of Commerce
,- Master Of Tourism Administration
,- M.Tech.(Civil Engineering)
,- M.Tech.(Computer Engineering)
,- M.Tech.(Electrical Engineering)
,- M.Tech.(Mechanical Engineering)
,- M.Sc.(Biochemistry)
,- M.Sc.(Zoology)
,- Masters Of Business Administration
,- M.Sc.(Chemistry)
,- Master Of Computer Application
,- M.Sc.(Mathematics)
,- Master Of Art(Economics)
,- M.A.(Mass Communication)
,- M.A.(Political Science)
,- M.A.(Sociology and Social Work)
,- Post Graduate Diploma in Banking & Finance
,- Bachelor Of Commerce
,- Bachelor Of Architecture
,- Bachelor of Medicine & Bachelor of Surgery
,- Bachelor Of Education
,- Master Of Art (English)
,- Master Of Art(Philosophy)
,- Master Of Law
,- M.D.S.(Orthodontics)
,- M.Sc.(Physics)
,- Bachelor Of Dental Surgery
,- B.Sc. Physics (Hons.)
,- M.Tech.(Chemical Engineering)
,- M.Tech.(Electronics Engineering)
,- Master Of Business Administration (International Business)
,- Post Graduate Diploma in Marketing Management
,- Post Graduate Diploma in Journalism
,
Chaudhary Charan Singh University,- B.Tech.(Electronics & Communication Engineering )
,- Master Of Art(Economics)
,- Master Of Art(English
,- Master Of Journalism & Mass Communication
,- M.Sc.(Chemistry)
,- M.Sc.(Mathematics)
,- M.Sc.(Physics)
,- M.Sc.(Zoology)
,- Master Of Computer Application
,- Master Of Law
,- B.Tech.(Agricultural Engineering)
,- B.A.+ LL.B.(Integrated)
,- M.Sc. (Food Science and Technology)
,- Master Of Education
,- M.B.A.(International Business)
,- M.Sc.(Biotechnology)
,- M.Sc.(Microbiology)
,- B.Tech.(Computer Science)
,- B.Tech.(Mechanical Engineering)
,- Master Of Art (Political Science)
,- B.Tech.(Information Technology)
,
Global Institute of Gaming and Animation,- Bachelor of Science (Animation and VFX)
,- Bachelor of Science (Animation and Gaming)
,- Diploma in Game Technology
,- Post Graduation Diploma in 3d Animation & game technology
,- Diploma in 3D ANIMATION & VFX
,- Diploma in 3D Animation Game design and Development
