Institute Name,Course Name
,- MBA ( Part time) in IB
,- Integrated BBA in HR
,- Integrated BBA in HR
,- Integrated BBA in Finance
,- Integrated BBA in Marketing
,- Integrated BBA in IB
,- Integrated BBA in Healthcare & Hospitality
,- B.A
,- B.Ed
,- B.Ed
,- B.Sc
,- BTC
,- B.El.Ed
,- M.Ed
,- Diploma in Fashion Designing
,- B.A. in Fashion Designing
,- B.Ed in LD
,- B.Ed in HI
,- B.Ed in MR
,- B.A. (Pass)
,- B.A. (Hons.)
,- MA
,- Diploma in Homeopathy Pharmacy
,- BAMS
,- BUMS
,- B.Lib.in I.Sc
,- M.Lib. in I.Sc
,- BPT
,- B.Sc.B.Ed
,- BA (Journsalism & Mass Communication)
,- MA (Journsalism & Mass Communication)
,- Diploma (Media & Mass Comunication)
,"- Diploma (Camera, Film making, Editing, Production- Pre&Post )"
,- D. Ed.
,
Manav Rachna International University(Engineering),B.Arch - Bachelor of Architecture
,- B.Tech - Aeronautical Engineering
,- B.Tech - Automobile Engineering
,- B.Tech - Biotechnology
,- B.Tech - Civil Engineering
,- B.Tech - Computer Science & Engineering
,- B.Tech - Industrial Engineering & Management
,- B.Tech - Information Technology
,- B.Tech - Mechanical Engineering
,- B.Tech - CSE in association with IBM (Business Analytics and Optimization)
,- B.Tech - CSE in association with IBM (Cloud Computing)
,- B.Tech - CSE in association with IBM (Cyber Security and Forensics)
,- B.Tech - CSE in association with IBM (Graphic and Gaming Technology)
,- B.Tech - CSE with specialization in Data Science and Machine Learning (In association with Xebia)
,- B.Tech - CSE with specialization in Digital Transformation Engineering (In association with Xebia)
,- B.Tech - Electrical & Electronics Engineering in association with Su-kam
,- B.Tech - Electronics & Computer Engineering
,- B.Tech - Electronics and Communication Engineering with specialization in Internet of Things (IOT)
,- B.Tech - Mechanical Engineering in association with JBM
,- B.Tech (Lateral Entry) - Aeronautical Engineering
,- B.Tech (Lateral Entry) - Automobile Engineering
,- B.Tech (Lateral Entry) - Biotechnology
,- B.Tech (Lateral Entry) - Civil Engineering
,- B.Tech (Lateral Entry) - Computer Science & Engineering
,- B.Tech (Lateral Entry) - Industrial Engineering & Management
,- B.Tech (Lateral Entry) - Information Technology
,- B.Tech (Lateral Entry) - Mechanical Engineering
,- B.Tech (Lateral Entry) - CSE in association with IBM (Business Analytics and Optimization)
,- B.Tech (Lateral Entry) - CSE in association with IBM (Cloud Computing)
,- B.Tech (Lateral Entry) - CSE in association with IBM (Cyber Security and Forensics)
,- B.Tech (Lateral Entry) - CSE in association with IBM (Graphic and Gaming Technology)
,- B.Tech (Lateral Entry) - Electrical & Electronics Engineering in association with Su-Kam
,- B.Tech (Lateral Entry) - Electronics & Communication Engineering with specialization(IOT)
,- B.Tech (Lateral Entry) - Mechanical Engineering in association with JBM
,- M.Tech - Biotechnology
,- M.Tech - Civil Engineering with specialization in Construction Management
,- M.Tech - Civil Engineering with specialization in Structural Engineering
,- M.Tech - Civil Engineering with specialization in Transportation Engineering
,- M.Tech - Computer Engineering/Computer Engineering with specialization in Computer Networking
,- M.Tech - Electronics & Communication Engineering with specialization
,- M.Tech - Mechanical Engineering with specialization in Industrial Engineering
,- M.Tech - Electrical & Electronics Engineering with specialization in Power Systems
,
,
Dronacharya Group of Institutions,B.Tech in Computer Science & Engineering
,- B.Tech in Electronics & Communication Engineering
,- B.Tech in Information Technology
,- B.Tech in Mechanical Engineering
,- B.Tech in Computer Science & Information Technology
,- B.Tech in Electronics & Computer Science
,- B.Tech in Electrical & Electronics Engineering
,- B.Tech in Civil Engineering
,- MBA in HR
,- MBA in Finance
,- MBA in Marketing
,- MBA in Information Technology
,
,
CHANDIGARH GROUP OF COLLEGES,Bachelor of Engineering (Computer Science & Engineering)
,- Bachelor of Engineering (Computer & Communication Engineering)
,- Bachelor of Engineering (Electronics & Communication Engineering)
,- Bachelor of Engineering (Electrical Engineering)
,- Bachelor of Engineering (Electrical & Electronics Engineering)
,- Bachelor of Engineering (Civil Engineering)
,- Bachelor of Engineering (Mechanical Engineering)
,- Bachelor of Engineering (Chemical Engineering)
,- Bachelor of Engineering (Automobile Engineering)
,- Bachelor of Engineering (Petroleum Engineering)
,- Bachelor of Science (Hotel Management & Catering Technology)
,"- Bachelor of Science (Airlines, Tourism & Hospitality Management)"
,- Bachelor of Science (Biotechnology)
,- Bachelor of Business Administration (BBA)
,- Bachelor's of Commerce (Hons)
,- Bachelor of Architecture (B.Arch)
,- Bachelor of Science (Animation & Multimedia Technology)
,- Master of Engineering (Computer Science and Engineering)
,- Master of Engineering (Information Technology)
,- Master of Engineering (Electronics & Communication Engineering)
,- Master of Engineering (Electrical Engineering)
,- Master of Engineering (Mechanical Engineering)
,- Master of Engineering-Hons (Mechanical Engineering)
,- Master of Business Administration (Marketing Management)
,- Master of Business Administration (Financial Management)
,- Master of Business Administration (Human Resource Management)
,- Master of Business Administration (Information Technology)
,- Master of Business Administration (International Business)
,- Master of Computer Applications (MCA Leet)
,- Master of Science (Biotechnology)
,- Master of Science (Animation & Multimedia Technology)
,- Bachelor of Computer Applications with MCA
,- Bachelor of Management Studies (Hotel Management & Catering Technology)
,- B.Tech - Mechanical Engineering
,- B.Tech - Electronics and Communication Engineering
,- B.Tech CSE (Lateral Entry)
,- B.Tech ME (Lateral Entry)
,- B.Tech IT (Lateral Entry)
,- B.Tech ECE (Lateral Entry)
,- MCA
,- MCA (Lateral Entry)
,- B.Sc - Biotech
,- M.Sc - Biotech
,- M.Tech - CSE
,- M.Tech - ME
,- M.Tech - IT
,- M.Tech - ECE
,
,
IIMT College of Engineering,B.Tech in Applied Science
,- B.Tech in IT information Technology
,- B.Tech in Electronics & Communication
,- MBA in HR
,- B.Tech in Computer Science
,- B.Tech in Civil Engineering
,- B.Tech in Mechanical Engineering
,- MBA in Finance
,- MBA in Accounts
,- MBA in Marketing
,
,
School of Aeronautics,Aircraft Maintenance Engineering
,- Cabin Crew
,- Aeronautical Engineering
,- Airhostess
,- Mechatronics
,
BABU BANARSI DAS INSTITUTE OF ENGINEERING TECHNOLOGY & RESEARCH CENTER,- B.tech (Computer Science Engineering)
,- B.tech (Mechanical Engineering)
,- B.tech (Electrical Engineering)
,- B.tech (Electronics & Instrumentation Egg.)
,- B.tech (Information Technology)
,- B. tech (Electronics & Telecommunication)
,
Netaji Subhas Institute of Technology,- B.E (Manufacturing Processes and Automation Engineering)
,
,
Indian Institute of Carpet Technology,- B.Tech. (Carpet & Textile Technology)
,
National Institute of Technology Silchar,- Bachelor of Technology (Computer Science and Engineering)
,- Bachelor of Technology (Electronics and Communications Engineering)
,- Master of Technology (Computer Science & Engineering)
,- Master of Technology (Mechanical Engineering)
,- Bachelor of Technology (Civil Engineering)
,- Bachelor of Technology (Mechanical Engineering)
,- Master of Technology (Electrical Engineering)
,- Master of Technology (Civil Engineering)
,- Bachelor of Technology (Electrical Engineering)
,- Bachelor of Technology (Electronics and Instrumentation Engineering )
,- Master of Technology (Electronics & Communication Engineering)
,
Vishwabhararti Academy's College of Engineering,- B.Tech (Computer Engineering)
,- B.Tech. (Mechanical Engineering)
,- B.Tech. (Electronics & Telecommunication Engineering)
,- B.Tech (Information Technology)
,
Azad Institute of Engg. & Technology,- B.Tech. (Computer Science & Engineering)
,- B.Tech. (Electronics & Instrumentation control)
,- B.Tech. (Information Technology)
,- B.Tech (Electronics & Communications Engineering)
,- Master in Computer Application
,- Post Graduate Diploma in Business Management
,- B.Tech. (Mechanical Engineering)
,- Master in Business Administration
,- M.Tech. (Advance CAD)
,- B.Tech. (Electrical Engineering
,
Cambridge Institute of Technology,- Bachelor of Technology (Computer Science & Engineering)
,- Bachelor of Technology (Electronics & Communication Engineering)
,- Bachelor of Technology (Civil Engineering)
,- Bachelor of Technology (Mechanical Engineering)
,- Master Of Business Administration
,
Visvesvaraya National Institute of Technology,- B.Tech. (Civil Engineering)
,- Bachelor Of Architecture
,- B.Tech. (Metallurgical & Materials Engineering)
,- M.Tech. (Integrated Power System)
,- M.Tech. (Industrial Engineering)
,- B.Tech. (Mechanical Engineering)
,- B.Tech. (Mining Engineering)
,- M.Tech. (Material Engineering)
,- B.Tech. (Computer Science Engineering)
,- B.Tech. (Electronics & Communication Engineering)
,- M.Tech. (Computer Science Engineering)
,- M.Tech. (Urban Planning)
,- B.Tech. (Chemical Engineering)
,- B.Tech. (Electrical & Electronics Engineering)
,- M.Tech. (Environmental Engineering)
,
Indian School of Mines,- B.Tech. (Mineral Engineering)
,- B.Tech. (Mechanical Engineering)
,- Master Of Business Administration
,- B.Tech. (Mining Machinery Engineering )
,- B.Tech. (Electrical Engineering)
,- B.Tech. (Mining Engineering)
,- B.Tech. (Petroleum Engineering)
,
Krishna Engineering College,- B.Tech. (Electrical & Electronics Engineering)
,- B.Tech. (Mechanical Engineering)
,- Master Of Computer Applications
,- B.Tech. (Electronics & Communication Enginnering)
,- B.Tech. (Computer Science & Engineering)
,- B.Tech. (Information Technology)
,
Bharath University,- Bachelor Of Technology(Civil Engineering)
,- Bachelor Of Technology(Comp Sc&Engg)
,- Bachelor Of Technology(Electronics & Telecommunication Engg)
,- Bachelor Of Technology(Bio-medical Engineering)
,- Bachelor Of Technology(Bio informatics)
,- Bachelor Of Technology(Industrial Bio-technology)
,- Bachelor Of Medicine and Bachelor Of Science(MBBS)
,- Bachelor of Physical Therapy (B.P.T)
,- Master Of Technology(FT)
,- Master Of Science(Nursing)
,- Bachelor Of Technology(Information Technology)
,- Bachelor Of Technology(Electronics and Communication Engg)
,- Bachelor Of Technology(Electronics & Instrumentation Engg)
,- Bachelor Of Technology(Mechatronics)
,- Master of Technology [PT]
,- Master of Dental Surgery(MDS)
,- Bachelor Of Technology(Mechanical Engineering)
,- Master Of Computer Application
,- Master of Dental
,- Master of Surgery
,- Bachelor Of Technology(Electrical and Electronics Engineering)
,- Bachelor Of Technology(Computer Software Engineering)
,- Bachelor of Dental Surgery
,- Bachelor Of Technology(Automobile Engineering)
,- Bachelor Of Architecture
,- Master of Business Administration
,
,
IIFA Lancaster Degree college,- B. Sc in Animation and Multimedia
,- B. Sc in Interior Designing
,- B. Sc in Fashion Designing
,- B. Sc in IT and Logistics
,- B. Sc in Visual Communication
,- B. Sc in Hotel Management and Catering Service
